5001	C4BBB2	White Ab
5002	92ABA8	Light Blue Ab
5003	0F77A6	Aegean Blue Ab
5004	DE9788	Pink Ab
5005	D0A217	Yellow Ab
5006	C9433E	Red Ab
5007	C8B791	Cream Ab
5008	859129	Bright Green Ab
5009	6D9598	Baby Blue Ab
5010	AF89A5	Mauve Ab
5011	5A5C5B	Crystal Ab
5012	D13725	Orange Ab
8165	95B3B4	Aqua Mist
8174	5A95A1	Mid Aqua Marine
8175	318B9E	Aqua Marine
8176	0D4F6E	Dark Aqua Marine
8177	89B0A1	Pale Turquoise
8178	719E9C	Mid Turquoise
8179	46838F	Turquoise
8180	417C84	Dark Turquoise
8181	186572	Oriental Turquoise
8183	999F94	Turquoise Ice
8184	70807D	Pale Slate
8185	5B6C6E	Mid Slate
8186	3B4B51	Slate
8187	253D43	Dark Slate
8188	50908D	Light Jade
8189	2E7A77	Jade
8190	0B4343	Dark Jade
8209	34554A	Dark Beryl
8212	75998E	Light Agave
8213	52857D	Agave
8214	445854	Dark Agave
8215	354F4B	Pine Green
8216	173632	Dark Pine Green
8001	1F1F24	Black
8405	372829	Burnt Umber
8415	938072	Stone
8416	706657	Dark Stone
8417	494740	Smoke
8418	342C28	Black Pearl
8420	9A9078	Dark Ash
8422	4D4C51	Deep Ocean
8426	7A5C4E	Medium Clay
8427	6A4A3C	Dark Clay
8436	7A8178	Smokey Grey
8437	71665F	Dark Cement
8438	5A5B56	Thunder Grey
8439	433C38	Storm Grey
8442	7A7B84	Medium Dove
8443	585862	Dark Dove
8444	959797	Mist
8445	7B8487	Pebble
8446	4D4B55	Shadow
8447	384A52	Blue Gum
8448	403E44	Steel
8108	8797A7	Blue Grey
8109	657C96	Mid Blue Grey
8110	40668D	Blue Shadow
8115	7397A8	Duck Egg Blue
8116	6489A9	Sky Blue
8117	50779F	Mid Sky Blue
8118	425F88	Dark Sky Blue
8119	2A4C81	Light Delft
8120	304A7F	Delft
8121	242F5E	Junior Navy
8122	6994A8	Azure
8123	2E5F99	Cornflower
8124	275698	Dark Cornflower
8125	5597B9	Forget-Me-Not Blue
8126	347DB5	Delphinium Blue
8127	115EA0	Santorini Blue
8128	0E5396	Reflex Blue
8129	0E509D	Dark Reflex Blue
8130	123F85	Ocean Blue
8131	133B7B	Navy Blue
8132	82B3AE	Light Glacier
8133	59A1AD	Glacier Blue
8134	3AA5C1	Dark Glacier
8135	386F95	Pale Denim
8136	125985	Denim
8137	14416B	Dark Denim
8138	1D96BC	Light Aegean
8139	0E87BB	Aegean Blue
8140	0967A4	Deep Aegean Blue
8141	269CB3	Light Aqua
8142	139AB9	Aqua
8143	087EA4	Dark Aqua
8144	73869F	Pale Blue Grey
8145	586D87	French Blue
8146	334B6D	Dark Blue Grey
8148	9BB5B5	Ice Blue
8149	8DB8BA	Mid Sea Quest
8150	75A6B2	Sea Quest
8151	608EA4	Dark Sea Quest
8152	347295	Oriental Light Blue
8153	306189	Oriental Blue
8154	1A4A74	Mid Oriental Blue
8155	1C4163	Dark Oriental Blue
8156	152F53	Ink
8157	17253D	Midnight Blue
8158	201F31	Indigo
8159	98AEAE	Baby Blue
8160	7A959A	Light Teal
8161	5E7F8B	Mid Teal
8162	486B79	Teal
8163	244659	Dark Teal
8164	183349	Midnight Teal
8166	78A9B1	Bluestone
8167	6793A5	Heavenly Blue
8168	3188A5	Light Kingfisher
8169	1A7095	Kingfisher
8170	1C5178	Dark Kingfisher
8171	104D80	Sapphire
8172	143862	Dark Sapphire
8173	88B2AF	Light Aqua Marine
8282	89845C	Light Eucalypt
8283	7E764C	Gum Green
8284	87734B	Green Gold
8285	C2AD70	Pale Gold
8286	B59040	Gold
8287	9B7130	Deep Gold
8288	8F7635	Light Bronze
8289	69532C	Dark Khaki
8290	6D4825	Bronze
8292	8E7F6B	String
8293	5E5344	Gun Metal
8294	6E614C	Putty
8296	A28C62	Linen
8297	84644B	Fawn
8298	845B3F	Dark Linen
8303	705038	Mocha
8304	835B3F	Olivine
8307	A8662B	Deep Cadmium
8308	83422C	Russet
8309	DD9E70	Oaten
8310	9F6F48	Pale Ginger
8311	94663A	Dark Ginger
8312	A37140	Golden Ginger
8355	D58762	Light Ochre
8356	C4623F	Mid Ochre
8357	A7492C	Dark Ochre
8358	9E422A	Ochre
8359	5E2C1F	Dark Brown
8364	CC8560	Medium Skin Tone
8365	CF844F	Light Tan
8366	BE6837	Mid Tan
8367	B65E33	Tan
8368	793624	Dark Tan
8380	5E2426	Red Mud
8381	582225	Dark Burgundy
8384	BB7462	Mole Pink
8385	B17771	Light Mole
8386	955C56	Mole
8387	794038	Dark Mole
8397	C9977A	Medium Latte
8398	AD7154	Latte
8399	A56344	Dark Latte
8400	8A4939	Bark
8401	703626	Brown
8402	562D26	Chocolate Brown
8403	5A332A	Dirty Paw
8404	482621	Purple Brown
8407	B78F7A	Pale Donkey
8408	9F715D	Medium Donkey
8409	7C5544	Donkey
8410	4A332D	Charcoal
8425	937F66	Grey Green Haze
8430	967063	Mid Twig
8431	8B6657	Dark Twig
8432	66483A	Sepia
8433	402B29	Dark Sepia
8147	BBBF9F	Ice
8182	17515E	Midnight Turquoise
8191	68AAA0	Light Reef
8192	4B968C	Medium Reef
8193	3A8E81	Reef
8194	086D62	Dark Reef
8195	2E8879	Waterfall
8196	1A8677	Deep Waterfall
8198	569089	Spa
8199	32857C	Deep Spa
8200	23766F	Blue Green
8201	0A544F	Dark Blue Green
8202	719279	Soft Green
8203	6E987C	Light Apple Green
8204	608D79	Apple Green
8205	48775D	Dark Apple Green
8206	224D3E	Wattle Green
8210	386659	Light Juniper
8211	254B43	Juniper
8217	9BC79E	Pale Mint Green
8218	72B388	Medium Mint Green
8219	4E9F6B	Mint Green
8220	359A63	Bright Mint Green
8221	389A5C	Light Emerald
8222	15733B	Emerald Green
8223	0D6A46	Dark Emerald
8224	165337	Holly Green
8225	B0AE84	Chartreuse
8226	889572	Antique Green
8227	567654	Light Jungle
8228	4D6C4B	Jungle
8229	2C4931	Deep Jungle
8230	23462C	Veridian
8231	8EAC74	Pastel Green
8232	819D51	Pale Fern
8233	587D43	Fern
8234	4C7342	Medium Fern
8235	30542B	Dark Fern
8236	AEB277	Pale Chartreuse
8238	6D774B	Palm Green
8241	325D3A	Cedar Green
8242	9DAA2B	Parrot
8243	7DA034	Dark Parrot
8244	528C33	Lorikeet
8245	0E5E23	Kelly Green
8246	0D5A27	Mid Kelly Green
8247	0F532C	Dark Kelly Green
8248	97A01E	Light Frog Green
8249	467B11	Frog Green
8250	3D631F	Leprachaun
8251	395821	Loden Green
8253	928F4F	Lichen
8254	6A7F30	Pickle Green
8256	636325	Mineral Green
8257	4F5438	Medium Forest
8258	444532	Forest
8259	393528	Dark Forest
8271	C0B329	Bright Lime
8421	707F65	Greenstone
8207	627B75	Turquoise Breath
8208	417A70	Beryl
8237	A59755	Deep Chartreuse
8252	B7A05F	Celery Green
8260	8F907D	Grey Green
8261	919266	Pale Olive
8262	6D734E	Grass Green
8263	4E522F	Olive
8264	5C5F47	Sage
8265	778376	Green Haze
8266	314737	Hunter Green
8267	827F55	Dark Pickle
8268	535F3F	Sap Green
8269	444F33	Dark Olive
8270	D0AC57	Pale Yellow
8272	9E851D	Bright Khaki
8273	677323	May Green
8274	616429	Mid May Green
8275	998542	Light Khaki
8276	8B772B	Khaki
8277	555526	Dark May Green
8278	4B5024	Army Green
8279	8B8C6C	Winter Green
8280	727655	Eucalypt
8281	5F633E	Dark Eucalypt
8089	9E898B	Purple Smoke
8090	8D777F	Pale Mushroom
8091	6F515F	Mushroom
8092	613D4B	Dark Mushroom
8093	986174	Light Mauve
8094	6F3E58	Mauve
8095	623249	Dark Mauve
8096	411B2E	Maroon
8097	C196B3	Pale Lilac
8098	B581BB	Lilac
8099	9D6095	Mid Lilac
8100	743876	Light Purple
8101	612969	Purple
8102	542663	Dark Purple
8103	B39AB6	Purple Ice
8104	977AAD	Lavenda
8105	4E3E91	Jacaranda
8106	403184	Imperial Purple
8107	3C1948	Royal Purple
8111	576299	Dark Lavenda
8112	7557A3	Soft Violet
8113	483989	Gentian
8114	583E8D	Gentian Violet
8388	9A8C8F	Light Oyster
8389	948087	Mid Oyster
8390	7D6B73	Oyster
8391	94757A	Light Java
8392	69494F	Java
8393	624145	Dark Java
